Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,Raw Material,,,,,,,
,S.No,Product Name,Qty. Sent,Sample Type ,Batch  No,Mfg.Date,Expiry .Date,Manufacturer name,     Sample Sent to,Sent Date,Courier details
,1,Astaxanthin 5%,1Kg x2,liquid,,,,,Yuvaraja,26-10-23,
,2,Astaxanthin 5%,,liquid,,,,,Ramchand,13-11-23,
,3,Omega -3,,,,,,,Ramchand,2024-11-12 00:00:00,
,4,,,,,,,,Ramchand,19-01-24,
,5,Omega -3,,,,,,,Ramchand,2024-09-02 00:00:00,
,6,,,,,,,,Scigenom,2024-06-03 00:00:00,
,7,,,,,,,,Scigenom,24-04-24,
,8,,,,,,,,Yuvaraja,2024-11-05 00:00:00,
,9,Astaxanthin 5%,50 mg x2,liquid,,,,,Scigenom,2024-11-06 00:00:00,
,10,Omega -3,50 mg x2,,,,,,Scigenom,2024-11-06 00:00:00,
,11,Astaxanthin 5%,1 kg,liquid,AO05210816060,16-08-2021,15-08-2025,Algamo,Yuvaraja,2024-08-10 00:00:00,
,12,Astaxanthin 5% (8),45.3 mg - 1 bottle  (50 mL Can),,AO05210816060,16-08-2021,15-08-2025,,Biogenics,2024-12-11 00:00:00,Professional courier
,13,Bacopa monnieri 75 mg + Astaxanthin 6 mg softgels,1 bottle- 60 Nos,Tablet,SRT24245,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",2025-06-01 00:00:00,Professional courier
,14,Curcumin extract 50 mg + Astaxanthin 6 mg softgels,1 bottle -60 Nos,Tablet,SRT24247,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",2025-06-01 00:00:00,Professional courier
,15,Astaxanthin 6 mg + Omega 3 softgels,1 bottle -60 Nos,Tablet,SRT24246,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",2025-06-01 00:00:00,Professional courier
,16,DHA ( Algae oil 40%),10 gm -1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,17,Curcumin extract ( Curcumin 95%),20 gm -1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,18,Fish lipid oil 46/38,20 gm -1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,19,Bacopa monnieri Extract,20 gm -1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,20,Polyethylene glycol 400 NF (POLYMEG 400),20 GM-1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,21,Polysorbate 80,20 gm-1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,22,Aerosil (Colloidal Anhydrous silica),20 gm-1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,23,Nicotinamide,20 gm-1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,24,Medium chain triglycerides,20 gm-1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,25,Vitamin D3,6 gm-1,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,26,DI-alpha tocopheryl acetate,20 gm,Ingredients ,,,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,27,Astaxanthin 6 mg + Omega 3 softgels capsules ,1 HDBE container -350 gm,Tablets,SRT24246,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,28,Bacopa monnieri 75 mg + Astaxanthin 6 mg capsules,2 HDBE Container -each 550 gm,Tablets,SRT24245,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
,29,Curcumin extract 50 mg + Astaxanthin 6 mg softgels,2 HDBE Container -each 500 gm,Tablets,SRT24247,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"Dr KK Janardhanan, Amala Cancer Research center scociety, Amala nagar ,Thrissur 680555",16/1/2025,Professional courier
