Sl.No.,Particulars,Qty,Unit,Brand,Model no.,Serial no.,Dealer,Installation date,Comments,Invoice no.,Invoice date
,Air conditioner,2.0,,Panasonic,CS TU18YKY,,"Ideal Home Applieances, Email: contactus@idealhomeappliances.com",2023-01-23 00:00:00,servicing was done 3 times,INV5-63755,2023-01-23 00:00:00
,APC UPS,,,,SRC10KUXI,,"Green power solution, Door No. 52/966, Janatha road, Vyttila, Kochi-19, Ph: 8606674222, 0484-6460343, Email: info@greenpowersolution.in",2022-10-31 00:00:00,,GPS-G/22-23/0158,31-09-2022
,Autoclave,1.0,,Equitron,#7441SLEFA,7441SLEFA.BB1.001568.AX,Calgon scientific,Installed on 10/01/23,"Instected and found leakage on 24/05/23, issue resolved on 06/06/23",CA/5265,2022-09-28 00:00:00
,Bioreactor (25 L) ,1.0,,LGEM ,,,,,,,
,Bioreactor ( 275 L),1.0,,LGEM  PILOT 275,,,,,,,
,"Centrifuge with 12x15 rotor head, 6x50 rotor head",1.0,,Eltek,TC 650D,HLC 48,Calgon scientific,Installed on 10/01/24,,CA/5224,2022-09-14 00:00:00
,Cultivation rack,1.0,,,,,"Aira structural designers and fabrication works, Thettichira, Kurakkada P.O.",2023-12-29 00:00:00,,3,2024-03-18 00:00:00
,Digital Hygrometer,1.0,,Amicisense,B07K7MRJDV,,"Amicikart online services Pvt.Ltd, Sy No. 524/1,2,3,4,6,521/1,2,3,4,5,6,No.51/1 of thatnahalli village, kasaba hobli, anekal taluk, Bangalore urban district, bangalore, karnataka, 562107",2023-02-02 00:00:00,Ordered through Amazon,BLR7-7506,2023-02-02 00:00:00
,Digital multimeter,1.0,,Fluke,Fluke15BMAX01,,"NAAFIE enterprises, S-18, Hazari Baug, Ground floor, Vikhroli station road, Vikhroli(W), Mumbai -400083",2023-05-26 00:00:00,Ordered through Flipkart,FAC3CH2400002151,2023-05-26 00:00:00
,Dishwasher,1.0,,Samsung,,,ILE,2022-09-03 00:00:00,,ILE/T/0576/22-23,2022-09-03 00:00:00
,DO meter,1.0,1.0,Lutron,DO-5510,22870,ILE,Installed on 23/01/23,,ILE/T/0512/22-23,2022-08-18 00:00:00
,"Electronic balance with printer STP DI, Model: ATN-220G, Make: Axis, Poland",1.0,1.0,Scale Tec,ATN-220G,579,Calgon scientific,Received on 08/03/23; installed on 20/03/23 ,,CA/5838,2023-03-08 00:00:00
,"Elcetronic balance, high precision",1.0,1.0,Scale Tec,SAB-203E ,202208173337,Calgon scientific,Installed on 10/01/23,,CA/5186,2022-08-30 00:00:00
,Electronic weighing balalnce,1.0,1.0,Scale Tec,CWS-3SL,,Calgon scientific,Installed on 10/01/23,,CA/5186,2022-08-30 00:00:00
,Hot air oven,1.0,1.0,Rotek,RHOM-24DF,22199,Calgon scientific,Installed on 10/01/23,,CA/5244,2022-09-21 00:00:00
,"Laminar Air Flow, 4'x2'x2'",1.0,1.0,Microfilt,MFI V 4x2,8723,Calgon scientific,Installed on 10/01/23,,CA/5244,2022-09-21 00:00:00
,Lux meter,1.0,1.0,Lutron,LX-1108,32695,ILE,Installed on 23/01/23,,ILE/T/0512/22-23,2022-08-18 00:00:00
,Magnetic stirrer,1.0,1.0,Eltek,M4D,BCF 169,Calgon scientific,Installed on 10/01/23,,CA/5224,2022-09-14 00:00:00
,Microscope,1.0,1.0,Labomed,LX500,210932665,ILE,Installed on 23/01/23,,ILE/T/0526/22-23,2022-08-25 00:00:00
,MAGCAMDIGITAL CMOS CAMERA &SOFTWARE AND MX 21i TR- FREEDOM MICROSCOPE,1.0,1.0,Magnus,DC PLUS 10,,"Nu Tech Equipments and Services,                                            TC 14/1102 (4),                    Palayam,                                  Trivandrum-695014",Installed on 12 /12/23,,NT/2023-24/124,Dec 12 2023
