Sl.No.,Name,Grade,Product code,CAS No.,Lot No.,Qty,Unit,Brand,Supplier,Received on,Mfg. Date/QC* release date,Exp./Retest* Date,Opened on,Finished on,COA,Spec,SDS,Comments,Invoice No.,Invoice date
1.0,Ammonium Molybdate (Tetrahydrate),SQ,Q21474,12054-85-2,7339460822,1,100 gm,Thermo Fisher Scientific (Qualigens),"Calgon Scientific                              Vinayaka Building, Ponekkara, AIMS P.O. Edapally, Kochi, Kerala, 682 041                 Ph-+914842802330/2352                              Email: info@calgonscientific.com                 http://www.calgonscientific.com                 ",2022-10-19 00:00:00,2022-08-01 00:00:00,01-08-2027*,2023-01-26 00:00:00,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
2.0,Ammonium Ferric Citrate,LR,A 14329,1185-57-5,205542,1,500 gm,Nice Chemicals,"Sabari Scientific Supplies           Sreepankajam Building, Police Quarters Road, Nemom, Thiruvananthapuram - 695020                                                          Ph-9447863355, 9746438384                             Email: sabarilabsupplies@gmail.com            http://www.sabariscientificsupplies.com",2023-01-21 00:00:00,2021-05-01 00:00:00,2026-04-01 00:00:00,2023-01-26 00:00:00,,ü,ü,ü,,BB-198,2023-01-21 00:00:00
3.0,Ammonium Ferric Citrate,Hi- Pure,A0440,1185-57-5,G042K15,1,500,Ranken,Kumaravel Sir,2023-01-26 00:00:00,2015-10-01 00:00:00,,,,,,,Gifted by Kumaravel sir,,
4.0,Ammonium Ferric Sulphate,SQ,Q16405,7783-83-7,7320190822,1,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-10-19 00:00:00,2022-08-01 00:00:00,01-08-2027*,,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
,Ammonium nitrate ,,,,,,,,Kumaravel Sir,2023-01-26 00:00:00,,,2023-01-26 00:00:00,,,,,Gifted by Kumaravel sir,,
5.0,Ammonium nitrate (Nitrogen supplement),,100352,,,1,5 Kg,,"Biostar Scientific TC 17/271(7) M K Road, Chadiyara Poojappura Thiruvananthapuram Mob: 9946669345 Email: biostarscientific@gmail.com",2023-02-08 00:00:00,,,,,,,,,N-099,2023-02-08 00:00:00
,Antifoam 204,,102589598,172964-47.5,MKCS6706,1,100 gm,Sigma,ILE,2024-05-27 00:00:00,2022-11-11 00:00:00,2024-11-01 00:00:00,2024-05-27 00:00:00,,ü,ü,ü,,TVM/24-25/0329,2024-05-27 00:00:00
,Accusol-95 (Ethanol),,800001,,20222,1,500 ml,Central Drug House Pvt. Ltd.,ILE,2024-04-27 00:00:00,2022-02-01 00:00:00,2027-01-01 00:00:00,,,,,,,TVM/24-25/0138,2024-04-27 00:00:00
6.0,D-Biotin,,CMS095-1G,58-85-5,577966,1,1 gm,Himedia,ILE,2024-01-16 00:00:00,27-02-23*,2026-02-23 00:00:00,2024-02-20 00:00:00,,ü,ü,ü,,TVM/23-24/1820,2024-01-16 00:00:00
7.0,Boric acid,Extrapure 99.5%,18952,10043-35-3,9512177,1,500 gm,Sisco Research Laboratories Pvt.Ltd.,Calgon Scientific ,2022-10-19 00:00:00,2022-09-01 00:00:00,2027-09-01 00:00:00,2023-01-26 00:00:00,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
,Buffer solution (pH 9.2),,ML063,38229090,624369,1,500 ml,Himedia,ILE,2024-06-08 00:00:00,2024-01-01 00:00:00,,,,ü,,ü,,TVM/24-25-0843,2024-06-08 00:00:00
8.0,Calcium Chloride Dihydrate,Extrapure AR 99.5%,70650,10035-04-8,7972599,1,500 gm,Sisco Research Laboratories Pvt.Ltd.,Calgon Scientific ,2022-10-19 00:00:00,2022-09-01 00:00:00,2027-09-01 00:00:00,2023-01-16 00:00:00,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
9.0,Calcium Nitrate Tetrahydrate ,LR,C10929,10124-37-5,301458,2,500 gm,Nice Chemicals,Calgon Scientific ,2023-01-21 00:00:00,,,2023-01-26 00:00:00,,,,ü,,CA/5654,2023-01-21 00:00:00
10.0,Citric Acid (anhydrous),SQ,Q22585,77-92-9,6907051021,1,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-09-29 00:00:00,2021-10-01 00:00:00,01-10-2026*,2023-01-16 00:00:00,,ü,ü,ü,,CA/5266,2022-09-28 00:00:00
11.0,Cobaltous Chloride hexahydrate,Hi-LR,GRM673-100G,7791-13-1,511963,1,100 gm,Himedia,ILE,2024-01-16 00:00:00,17-12-21*,2025-12-10 00:00:00,2024-02-20 00:00:00,,ü,ü,ü,,TVM/23-24/1820,2024-01-16 00:00:00
12.0,"Cupric Sulphate (Pentahydrate)
",ExcelaR-ACS,Q12515,7758-99-8,7240380622,1,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-10-19 00:00:00,2022-06-01 00:00:00,01-06-2027*,2023-01-26 00:00:00,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
13.0,Dipotassium Hydrogen Phosphate,Hi-AR,GRM168-500G,7758-11-04 00:00:00,362948,1,500 gm,Himedia,ILE,2023-01-22 00:00:00,31-10-18*,2022-09-30 00:00:00,2024-02-20 00:00:00,,ü,ü,ü,ILE delivered expired item.,TVM/23-24/1857,2024-01-22 00:00:00
,Dipotassium Hydrogen Phosphate,Hi-AR,GRM168-500G,7758-11-04 00:00:00,583194,1,500 gm,Himedia,ILE,2024-03-15 00:00:00,2023-03-31 00:00:00,2027-03-29 00:00:00,2024-03-15 00:00:00,,ü,ü,ü,replaced for expired product,TVM/23-24/1857,2024-01-22 00:00:00
14.0,EDTA Disodium salt Dihydrate,SQ,Q18455,6381-92-6,7180900522,1,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-09-29 00:00:00,2022-05-01 00:00:00,01-05-2027*,2023-01-16 00:00:00,,ü,ü,ü,,CA/5266,2022-09-28 00:00:00
