Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchased/recieved/opened on ,Finished on ,Comments,Invoice no.,Invoice date
1.0,Absorbent cotton roll,5,,,"The laboratory supplies, T.C-28/2496, old sreekanteswaram road, near ayurveda college Jn., TVM-1, Email: thelaboratorysupplies2019@gmail.com, PH-8281103196, 04712463225",Jan 12 2023,Finished-2," opened-2, unopened-1",0746/22-23,2023-01-12 00:00:00
2.0,Adapter for microscope eye piece,1,,Mokshith,"Sarayu shop, Shed No. 5D, Nanu Bhai ni Wadi, Opp. Sai Punjan Residency, Jahangipura, Surat, Gujarat-395005",2023-02-06 00:00:00,,Ordered thorugh Amazon,IN-13486,2023-02-06 00:00:00
,Adapter for microscope eye piece ,1,,,,,,Bill is not available,,
,Adapter mould for microscope eye piece ,1,,,Startup mission,,,Bill is not available,,
3.0,Allen key,,,,,,,"Stock:5 (4 small, 1 large) one is with mciroscope, one is with LAF, one is with revolving chair",,
,Allen key,1,,,Seetha stores,2023-05-10 00:00:00,,,BB288,2023-05-10 00:00:00
,Allen key long,1,,,American auto stores,2023-03-06 00:00:00,,,B2B06990/2223,2023-03-06 00:00:00
,Key cutting (Lab key duplicate),1,,,Vinayak key cutting,2024-06-06 00:00:00,,,72,2024-06-06 00:00:00
4.0,"Air Filter; 0.2µm Pore, 50mm Dia, sterile",2,1/pkt,Cole-palmer (WW-15945-23)  ,Biosys,2023-06-12 00:00:00,,,BSC/23/0316,2023-06-12 00:00:00
5.0,Aluminium foil,,,,,,,,,
,Aluminium foil,2,18 m,,Lab supplies trivandrum,2023-01-12 00:00:00,Finished,,R0001449,2023-01-12 00:00:00
,Aluminium foil,1,72m,aluwrapp,Lab supplies trivandrum,Feb 27 2023,Finished,,W0000751,2023-02-27 00:00:00
,Aluminium foil,1,9 m,Alfa,ILE,2023-12-15 00:00:00,Finished,,TVM/23-24/1612,2023-12-15 00:00:00
,Aluminium foil,1,72m,Fresh and fine,Lulu hypermarket,2024-03-19 00:00:00,,,164815,2023-03-19 00:00:00
,Aluminium foil,1,72mt,Fresh and fine,Lulu hypermarket,2024-08-09 00:00:00,,,100807,2024-08-09 00:00:00
,Aluminium foil,1,72 mt,Fresh and fine,Lulu hypermarket,2025-03-03 00:00:00,,,244171,2025-03-03 00:00:00
6.0,Aluminium can,,,,,,,,,
,Anodized Empty bottle with drop nozzle and cap with seal,1,4,Hunky Dory,"Power five, Anna Bhavan, 1st floor, officeNo.09 Masjid bunder, Mumbai-400009",2023-06-19 00:00:00,Finished,Ordered from Amazon to Reshma's Hostel address,IN-8837,2023-06-19 00:00:00
,"Anodised can, 50 ml/63ml ACE 24 ",1,483,AL-CAN,"Al-Can Exports Pvt.Ltd. Sheetal Industrial Estate, Next to Bharat gas godown, Bhayandar (East). Thane, Maharashtra - 401105. Email: marketing@alcanexports.com",2024-01-08 00:00:00,,Stock:457,3018/B23-24,2024-01-08 00:00:00
7.0,Aquarium Air pump ,,,,,,,,,
,Aquarium Air pump ,1,,,,Jan 12 2023,,Bill is not available,,
,Aquarium Air pump ,1,,,K.S Home aquarium,March 01 2023,,,1776,2023-03-01 00:00:00
,"Aquarium Air pump tube splitter, ss",1,,Jaisons Pet Products,"Jaisons, E-62, First Floor, Sector-7, Noida, UP-201301",21-01-2-23,,Ordered through Amazon,IN-72917,2023-01-21 00:00:00
,Aquarium stone,,,,,,,,,
,"Air stone for aquarium, small",5,,,,,,"Stock:15 (round 4, 4""x1.5"" -6, small-5) Bill is not available for small 5 pieces",,
,"Air stone for aquarium, 4""x1.5"", large ",1,6pcs./pack,kolkataDesigner,"Sumana Dey Bhadra, 303/1, Purba Sinthee Road, Fakir Ghosh Para, 4th lane, Right, Ghughudanga, South Dum Dum, Kolkata, West Bengal, 700030",2023-01-24 00:00:00,,Ordered through flipkart,IN-101,2023-01-24 00:00:00
,"Air stone for aquarium, round",4,,BOYU SRAAS2,"Jagadees Krishnaswamy, Petzlifeworld, 6, sathyamutrthy Nagar, Kathivedu, Kolathur, Chennai-600099",2023-01-25 00:00:00,,Ordered through flipkart,FAB4122300072348,2023-01-25 00:00:00
,Brush,,,,,,,"Stock: Total (flask)= 39, discarded =3, remaining-36, bottle brush-2, washbasin -3",,
,Bottle brush Nylon15'',1,,,Sabari scientific supplies ,Purchased on Jan 14 2023,,,BB-193,2023-01-14 00:00:00
