Item,Qty,Unnamed: 2,Unnamed: 3,Unnamed: 4,Dealer,Invoice No.,Invoice date,Unnamed: 8
SS Drill,2,,,,"Karthik hardwares, TC 38/491, Power house road, tvm - 36, Ph: 7994447863, karthik.hardwares@yahoo.com",291,2023-05-10 00:00:00,
SS rod 304,0.850 kg,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",164,2023-05-10 00:00:00,
304 rod,,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",163,2023-05-10 00:00:00,
palte,,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",163,2023-05-10 00:00:00,
304 rod,,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",149,2023-05-08 00:00:00,
palte,,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",149,2023-05-08 00:00:00,
W rod,,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",149,2023-05-08 00:00:00,
SS Bott & Nut,1,,,,"Seetha Stores, Marakada Road, Chalai, TVM - 695 036, PH:  0471-2473934, 9495730315, Email: sales@seethastores.in",BB288,2023-05-10 00:00:00,
SS Bott & Nut,1,,,,"Seetha Stores, Marakada Road, Chalai, TVM - 695 036, PH:  0471-2473934, 9495730315, Email: sales@seethastores.in",BB268,2023-05-08 00:00:00,
Brass bush,1,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B07818/2223,2023-05-19 00:00:00,
Brass elbow,1,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B07818/2223,2023-05-19 00:00:00,
brass bush,6,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
brass collar,2,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
brass coupler,1,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
brass elbow,2,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
brass hex nipple,3,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
brass reducer,6,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
chuck nut,4,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
PU fitting M Con 10 01,2,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
SS pipe nipple 1 inch,4,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06990/2223,2023-03-06 00:00:00,
A1 B/W,7,,,,"Engineers books centre & library, Engg. college Ju., TVM-81, Ph.: 0471-2596959",7397,2023-12-31 00:00:00,
Brass collar,2,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06639/2223,2023-02-07 00:00:00,
PVC FTA,1,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06639/2223,2023-02-07 00:00:00,for building work
N-STK,1,,,,"Astus Repographics, Kazhakuttom Jn., High School Road, TVM, 695582, Email: astusrepro@gmail.com, pH: 9656873247",INV-001381,2023-10-16 00:00:00,
Brass hose collar male 10x1/2,2,,,,"Subhikshyam Pneumatics 22-23, TC 39/1610(5), Manacaud P.O., TVM-32, Ph: 9447070393, 7012630638, Email: subhikshyamtvm@gmail.com",SB/22-23/765,2023-03-02 00:00:00,
Air release valve 1/4,6,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
Brass collar female,,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
Brass reducer,,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
Brass Tee,,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
"Nylon hose, 10mm",,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
PU fitting F Con 08 02,,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
PU fitting F Con 10 03,,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
PU fitting M Con 10 03,,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
PU fitting Union 10 ,,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",B2B06970/2223,2023-03-04 00:00:00,
,,,,,,,,
Carry bag,1,,,,LuluHypermarket,100807,2024-08-09 00:00:00,
Carry bag,1,,,,LuluHypermarket,508464,2024-06-10 00:00:00,
Carry bag,1,,,,LuluHypermarket,164699,30-11-24,
