Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchase date,Comments,Invoice no.,Invoice date
,Air flow inlet,,,,,,,,
,Air flow inlet (B34/35),10L,1,Technico,Technico Laboratory Glass Works,2024-12-07 00:00:00,,TLGW475/24-25,2024-12-07 00:00:00
,Air flow inlet (B34/35),5L,2,Technico,Technico Laboratory Glass Works,2024-12-07 00:00:00, Broken (1) (Total 1),TLGW475/24-25,2024-12-07 00:00:00
,Air flow inlet (B34/35),2L,2,Technico,Technico Laboratory Glass Works,2024-12-07 00:00:00,,TLGW475/24-25,2024-12-07 00:00:00
,Air flow inlet (B24/29),1L,2,Technico,"Technico Laboratory Glass Works, No 263 Sidco Industrial Estate, Thirumudivakkam, Chennai, Tamilnadu-600044 Email: technicoglass@gmail.com","15-09-2023, 22-09-2023",,"TLGW759/23-24, TLGW793/23024","15-09-2023, 22-09-2023"
,Air flow inlet (B24/29),5L,2,Technico,Technico Laboratory Glass Works,"23-11-2023, 20-01-2024","for sabari (among 2, one is not suitable); one ordered, delivered unsuitable item, later (20-01-2024) bought suitable item ","TLGW1071/23-24, TLGW1312/23-24","23-11-2023, 20-01-2024"
,Air flow inlet (B29/32),1L,1,Technico,Technico Laboratory Glass Works,2023-09-15 00:00:00,for 1L Reagent bottle (not mentioned in bill),,
,Air flow inlet (B34/35),2L,2,Technico,Technico Laboratory Glass Works,2023-11-23 00:00:00,,TLGW1071/23-24,2023-11-23 00:00:00
,Air flow inlet (B34/35),5L,3,Technico,Technico Laboratory Glass Works,"22-09-2023 (1), 23-11-2023 (2)",Discarded,"TLGW793/23-24, TLGW1071/23-24","22-09-23, 23-11-23"
,Air flow inlet (B34/35),5L,1,Technico,Technico Laboratory Glass Works,2023-09-15 00:00:00,for 5L Reagent bottle,TLGW759/23-24,2023-09-15 00:00:00
,Air inlet tube (B 34/35),5L,2,Technico,Technico Laboratory Glass Works,2025-12-02 00:00:00,,TLGW1526/24-25,19-02-25
,Air inlet tube (B 34/35),10 L,4,Technico,Technico Laboratory Glass Works,2025-12-02 00:00:00,,TLGW1526/24-25,19-02-25
,Air flow inlet (B34/35),10L,1,Technico,Technico Laboratory Glass Works,2023-11-23 00:00:00,Discarded,TLGW1071/23-24,2023-11-23 00:00:00
,Beaker,,,,,,,,
