Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchased/recieved/ opened on,Finished on,Comments,Invoice No.,Invoice date
1.0,Alcohol wipes,,,,,,,Stock: 5 (one is opened),,
,Alcohol wipes,1.0,,Dettol,"Kunnil hypermarket, Kaniyapuram",21/07/24,,,GK25-205591,
,Alcohol wipes,2.0,,Lysol,"Kunnil hypermarket, Kaniyapuram",,1. Pack 1 finished on 06/02/23                                2. Pack 2 finished on 16/02/23                                3.                                     4. ,Bill is not available,,
,Alcohol wipes,2.0,,Lysol,"Kunnil hypermarket, Kaniyapuram",2023-02-15 00:00:00,Pack 3 &4 finisehd by 05/03/23,,G-255645,2023-02-15 00:00:00
,Alcohol wipes,2.0,,Lysol,"Kunnil hypermarket, Kaniyapuram",2023-03-06 00:00:00,Pack 5 finished on 17/03/23,,G-284589,2023-03-06 00:00:00
,Alcohol wipes,1.0,,Lizol,"Kunnil hypermarket, Kaniyapuram",2023-03-26 00:00:00,Finished,,G-314929,2023-03-26 00:00:00
,Alcohol wipes,5.0,,Lizol,"Kunnil hypermarket, Kaniyapuram",2023-04-11 00:00:00,Finished,,GK24-17441,2023-04-11 00:00:00
,Alcohol wipes,3.0,40 wpies/pkt,Dettol,"Kunnil hypermarket, Kaniyapuram",2023-10-23 00:00:00,Finished,,GK24-335749,2023-10-23 00:00:00
,Alcohol wipes,3.0,40 wpies/pkt,Dettol,Lulu Hypermarket,2024-01-03 00:00:00,"3 finished, 1 opened",,12/21749,2024-01-03 00:00:00
,Alcohol wipes,2.0,40 wipes/pkt,Dettol,Lulu Hypermarket,2024-06-09 00:00:00,Finished,508464,Missing,2024-06-10 00:00:00
,Alcohol wipes,4.0,40 wpies/pkt,Dettol,Lulu Hypermarket,2024-02-05 00:00:00,Finished,,110483,2024-02-05 00:00:00
,Alcohol wipes,3.0,40 wipes/pkt,Dettol,Lulu Hypermarket,24-11-24,Finished,,209442,24-11-24
,Alcohol wipes,5.0,40 wipes/pkt,Dettol,Lulu Hypermarket,2025-03-03 00:00:00,,,244171,2025-03-03 00:00:00
2.0,Face mask 3 Ply,,,,,,,Stock: 1 box (opened),,
,Face mask 3 Ply,1.0,100,,"Lab supplies trivandrum, 25/1643-3,Vasantham chambers,Nr. Sreekumar theatre, SS Kovil road 32- Kerala, Thampanoor, Trivandrum-695001 Phone: 0471-4858444, 6282334304, 9847245887 Website: labsupplies.in; labsuppliestrivandrum.com E mail: labsuppliesemail@gmail.com",2023-01-12 00:00:00,2023-02-23 00:00:00,,R0001449,2023-01-12 00:00:00
,Face mask 3 Ply,2.0,50 pcs./pkt,Aerofil,Biomate,2023-02-23 00:00:00,Finished,,BMC2223-589,2023-02-23 00:00:00
,Face mask 3 Ply,1.0,50 pcs./pkt,Mohini,Lulu Hypermarket,2023-04-22 00:00:00,Finished,,7/87335,2023-04-22 00:00:00
,Face mask 3 Ply,2.0,100 pcs./pkt,Jaycot industries,ILE,2023-05-02 00:00:00,Finished,,TVM/23-24/0128,2023-05-02 00:00:00
,Face mask 3 Ply,1.0,100 pcs./pkt,Jaycot industries,ILE,2023-08-12 00:00:00,Finished,,TVM/23-24/0781,2023-08-12 00:00:00
,Face mask 3 Ply,2.0,100 pcs./pkt,Jaycot industries,ILE,2024-01-16 00:00:00,Finished,,TVM/23-24/1820,2024-01-16 00:00:00
,Face mask 3 Ply,2.0,100 pcs/pkt,Jaycot industries,ILE,22-10-24,Finished,,TVM/24-25/1381,22-10-24
,Face mask ,1.0,100 pcs./pkt,jaycot industries,ILE,16-11-24,Finished,,TVM/24-25/1569,16-11-24
,Face mask,2.0,100 pcs/pkt,Jaycot industries,ILE,17-01-25,,,TVM/24-25/2066,17-01-25
3.0,Head cap,,,,,,,,,
,Head cap,1.0,100 pcs./pkt,,Lab supplies trivandrum,Jan 12 2023,Finished,,R0001449,2023-01-12 00:00:00
,Head cap,1.0,100 pcs/pkt,,ILE,2023-05-02 00:00:00,Opened,Stock:79,TVM/23-24/0128,2023-05-02 00:00:00
,Head cap,1.0,50 pcs/pkt,,Sabari scientific supplies ,2023-08-22 00:00:00,Opened,Stock: 32,BB-80,2023-08-22 00:00:00
,,,,,,,,,,
4.0,Nitrile gloves,,,,,,,"Stock: Small -2  box (one is opened), Medium- 3 (1 box is opened), Large -2 (oen is opened)",,
,"Nitrile gloves, small",1.0,100/Pkt,Halyard,Biomate,2023-02-23 00:00:00,Finished,,BMC2223-589,2023-02-23 00:00:00
,"Nitrile gloves, small",2.0,100 pcs./pkt,Unisoft,ILE,2023-03-22 00:00:00,Finished,,ILE/T/1569/22-23,2023-03-22 00:00:00
,"Nitrile gloves, small",2.0,100 pcs./pkt,Unisoft,ILE,2023-05-02 00:00:00,Finished,,TVM/23-24/0128,2023-05-02 00:00:00
,"Nitrile gloves, small",3.0,100/pkt,unisoft,ILE,2023-05-19 00:00:00,Finished,,TVM/23-24/0258,2023-05-19 00:00:00
,"Nitrile gloves, small",2.0,100 pcs./pkt,Unisoft,ILE,2023-07-26 00:00:00,Finished,,TVM/23-24/0678,2023-07-26 00:00:00
,"Nitrile gloves, small",2.0,100/pkt,unisoft,ILE,2023-10-31 00:00:00,Finished,,TVM/23-24/1260,2023-10-31 00:00:00
