Sl.No.,Particulars,Qty,Unit,Brand,Model no.,Model no./Serial no.,Dealer,Purchase/Installation date,Comments,Invoice no.,Invoice date,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Apple P/ Adapter 20W USB-C,1,,Apple,,,LuluConnect,March 02 2023,,52/69038,2023-03-02 00:00:00,,,,
,ADORA 8MOD PLATE VINAY,1,,,,,"Radiant electricals, Railway station road, Kaniyapuram, VM -695301, Ph: 0471-2756297, 9447696386, radiantteleckpm@gmail.com",2025-06-03 00:00:00,,GS-252,2025-06-03 00:00:00,,,,
,8 MOD SURFACE BOX ELLEYS,1,,,,,"Radiant electricals, Railway station road, Kaniyapuram, VM -695301, Ph: 0471-2756297, 9447696386, radiantteleckpm@gmail.com",1935-06-03 00:00:00,,GS-252,2025-06-03 00:00:00,,,,
,ADORA 6/16A SOCKET VINAY,1,,,,,"Radiant electricals, Railway station road, Kaniyapuram, VM -695301, Ph: 0471-2756297, 9447696386, radiantteleckpm@gmail.com",1935-06-03 00:00:00,,GS-252,2025-06-03 00:00:00,,,,
,ADORA 6A 3PIN  SOCKET VINAY,2,,,,,"Radiant electricals, Railway station road, Kaniyapuram, VM -695301, Ph: 0471-2756297, 9447696386, radiantteleckpm@gmail.com",1935-06-03 00:00:00,,GS-252,2025-06-03 00:00:00,,,,
,ADORA 16A 1WAY SWITCH/IND VINAY,2,,,,,"Radiant electricals, Railway station road, Kaniyapuram, VM -695301, Ph: 0471-2756297, 9447696386, radiantteleckpm@gmail.com",1935-06-03 00:00:00,,GS-252,2025-06-03 00:00:00,,,,
,16A 3PIN TOP GM TOP 16A,1,,,,,"Radiant electricals, Railway station road, Kaniyapuram, VM -695301, Ph: 0471-2756297, 9447696386, radiantteleckpm@gmail.com",1935-06-03 00:00:00,,GS-252,2025-06-03 00:00:00,,,,
,2.5 SQMM ROUND 3CORE WIRE 3CORTE WIRE,7,,,,,"Radiant electricals, Railway station road, Kaniyapuram, VM -695301, Ph: 0471-2756297, 9447696386, radiantteleckpm@gmail.com",1935-06-03 00:00:00,,GS-252,2025-06-03 00:00:00,,,,
,Cable tie,1,Pack ( 450 mm box),,,,"Kerala electricals, Kazhakuttom, TVM, Ph: 0471-2418446, 9447205270",2025-07-03 00:00:00,,J 12039,2025-07-03 00:00:00,,,,
,16/6A.MOD.UNI.SOCKET  675555 MY,6,,,,,"Kerala electricals, Kazhakuttom, TVM, Ph: 0471-2418446, 9447205270",2025-10-03 00:00:00,,K 2889,2025-10-03 00:00:00,,,,
,6A 1W S/W MYRIUS 673000 679200,2,,,,,"Kerala electricals, Kazhakuttom, TVM, Ph: 0471-2418446, 9447205270",2025-10-03 00:00:00,,K 2889,2025-10-03 00:00:00,,,,
,16A..MOD.1WAY SWITCH+IND 675513,6,,,,,"""",2025-10-03 00:00:00,,K 2889,2025-10-03 00:00:00,,,,
,3 MODULE 675563 FRONT  PLATE MYL,4,,,,,"""",2025-10-03 00:00:00,,K 2889,2025-10-03 00:00:00,,,,
,6 MOD FRONT PLATE MYL,1,,,,,"""",2025-10-03 00:00:00,,K 2889,2025-10-03 00:00:00,,,,
,JIPSOM SCREW 19X6,1.5 DOS,,,,,"""",2025-10-03 00:00:00,,K 2889,2025-10-03 00:00:00,,,,
,PVC COPPER WIRE 2.5 SQ:MM,50 MTR,,,,,"""",2025-10-03 00:00:00,,K 2889,2025-10-03 00:00:00,,,,
,3 core 1.0SQMM wire gold,3,,,,,"C.S Agencies &  electricals 18 th mile,Mamom Korani PO,Attingal,Trivandrum, ph: 9349636108",2025-11-03 00:00:00,,BB-1595,2025-11-03 00:00:00,,,,
,6A  3 PIN TOP,2,,,,,"Kerala electricals, Kazhakuttom, TVM, Ph: 0471-2418446, 9447205270",2025-11-04 00:00:00,,N 140,2025-11-04 00:00:00,,,,
,16A 3 pin top (VINAY),8,,,,,"Kerala electricals, Kazhakuttom, TVM, Ph: 0471-2418446, 9447205270",2025-11-04 00:00:00,,N140,2025-11-04 00:00:00,,,,
,,,,,,,,,,,,,,,
,Gold 3 pin top 6A,1,,,,,"""",2025-11-03 00:00:00,,BB-1595,2025-11-03 00:00:00,,,,
,,,,,,,,,,,,,,,
,"Led tube, 20w",1,,Orient,,,"Mangalathu traders, Chempakamangalam, Korani, Ph.: 8848633811, 9847414972",2023-03-13 00:00:00,,MT-2263,2023-03-13 00:00:00,,,,
,LED light set,,,,,,,,,,,,,,
,LED light,8,,,,,,,"Stock: 8 (Green - 4, Red - 4); Bill is not avalable",,,,,,
,BX120c2 AP67 Bar fixture with separate power unit,,,,,,,,,,,,,,
